LGA_NAME_2021,Index of Relative Socio-economic Disadvantage Score,Index of Relative Socio-economic Advantage and Disadvantage Score,Index of Economic Resources Score,Index of Education and Occupation Score,M_Mental_health_rate_0_34,M_Mental_health_rate_35_85_over,F_Mental_health_rate_0_34,F_Mental_health_rate_35_85_over,Domestic violence related assault,Non-domestic violence related assault,Assault Police,Sexual assault,"Sexual touching, sexual act and other sexual offences","Intimidation, stalking and harassment",OLG Group,Council Type
Orange,997,979,994,972,0.07835712205068453,0.11548001837390905,0.1308067243608873,0.1513350700097688,0.007308328736900165,0.006480970766685052,0.0005056076484647913,0.0019764662621805477,0.0022522522522522522,0.009790402647545505,4,Regional Town/City
Parkes,946,922,959,914,0.071875,0.09047136340598073,0.10861670518322879,0.13263107493416326,0.008077431933709352,0.006684771255483601,0.0004874312373790126,0.0018104588816934754,0.0025067892208063504,0.010375322052781839,11,Large Rural
Parramatta,1029,1070,983,1097,0.03043335470653551,0.05011421163106557,0.051856332455982604,0.06964146764829114,0.0032290859232887597,0.002714925076637232,0.00023370947575069431,0.0007478703224022218,0.0008062976913398954,0.0039808514036201595,3,Metropolitan
Penrith,991,981,1015,949,0.057397794239899505,0.08112353667202753,0.0965919753781481,0.11966970667981267,0.005136356953837106,0.004346148191708321,0.00042726403998823875,0.0010980226403998824,0.0012404439870626286,0.006762716847985887,7,Metropolitan Fringe
Port Macquarie-Hastings,985,958,991,954,0.07692307692307693,0.1044922983764145,0.13043765265033996,0.1296863554638077,0.004460478089486181,0.003964869412876605,0.0003572992784859731,0.0015329291625365944,0.0010718978354579195,0.005993407252022775,5,Regional Town/City
Port Stephens,982,952,1004,928,0.0847922379244885,0.10444950512393798,0.12767360093759156,0.13758293645947817,0.004676125192624475,0.0036266539135979595,0.00018598225197938255,0.0017004091609543546,0.0014214357829852808,0.00452999628035496,5,Regional Town/City
Queanbeyan-Palerang Regional,1061,1062,1061,1046,0.06002475247524752,0.08986361534905224,0.1098963915684173,0.12792896018332856,0.0029066093769745988,0.00262226715531404,0.00011057753064577277,0.0010899785163654746,0.0009636041956274486,0.0038070264122330344,4,Regional Town/City
Randwick,1059,1113,995,1122,0.03930473421112817,0.05822981366459627,0.07663830616353835,0.08130124027748581,0.0028900872985132436,0.003538122337097399,0.0006033429669576617,0.0007076244674194798,0.0005437535381223371,0.003664749873372464,3,Metropolitan
Richmond Valley,924,892,961,871,0.07496740547588006,0.1040421292342727,0.10803746460466129,0.13115646258503402,0.005983450031826862,0.005304476978569913,0.0002121790791427965,0.001952047528113728,0.001400381922342457,0.006577551453426692,4,Regional Town/City
Ryde,1055,1099,1007,1120,0.037115197802565905,0.05263316461798024,0.0660917581293885,0.07033056726975921,0.002199453234512829,0.0015256770676022088,6.195642914120644e-05,0.0004027167894178419,0.0006118197377694137,0.002145241359014273,3,Metropolitan
Shellharbour,983,962,1014,928,0.06773565996580794,0.09602127240496357,0.11572629051620648,0.13853859225471782,0.0031073409290556043,0.0023468946257424184,0.00035400086533544857,0.0010226691665246293,0.0008522243054371911,0.004602011249360832,5,Regional Town/City
Shoalhaven,980,949,992,939,0.07570644235128192,0.10280401416765053,0.1158113730929265,0.1401120230700976,0.004137066828832315,0.004247634316462578,0.00039620016400844,0.0015479448268236726,0.0013728796380757572,0.006228635136504778,5,Regional Town/City
Singleton,998,965,1032,906,0.058079169370538614,0.08294859956909818,0.10621427254287295,0.13579676674364896,0.0036619603694511126,0.0032550758839565447,0.00020344224274728405,0.001505472596329902,0.0009765227651869634,0.005492940554176669,4,Regional Town/City
Snowy Monaro Regional,1020,991,1006,973,0.06382513661202185,0.07734303912647862,0.09119496855345911,0.11733165115912317,0.0027693159789531985,0.0026770054463214252,0.0002307763315794332,0.0013385027231607126,0.0010154158589495061,0.003923197636850365,4,Regional Town/City
Snowy Valleys,952,923,976,908,0.051478260869565216,0.07487556805886172,0.08500881834215168,0.1090472027972028,0.003424887515949231,0.0032905782015982808,6.715465717547512e-05,0.0019474850580887785,0.0014102478006849774,0.006849775031898462,11,Large Rural
Strathfield,1011,1066,961,1098,0.0221865197766047,0.039836766420520794,0.041786869481598043,0.060066740823136816,0.002719715745838177,0.0022152523413681924,0.00013159914899216985,0.0002631982979843397,0.00046059702147259446,0.0030048472353212115,2,Metropolitan
Sutherland Shire,1079,1090,1078,1064,0.04597795353030365,0.06316070140217699,0.07865645356362325,0.09082402313843362,0.002927748891234563,0.001959072329297905,0.00020850437207605197,0.00047782251934095244,0.0004951978836806234,0.0037530786973689356,3,Metropolitan
Sydney,1031,1126,887,1158,0.056563271439304494,0.08476218330713267,0.10174629683415626,0.09836029876096945,0.004791335903833069,0.009592122174340365,0.0015026083012020866,0.0014600816511680652,0.0013939290844484766,0.00688459212217434,1,Metropolitan
Tamworth Regional,961,937,976,923,0.0690185120502969,0.1002350672051112,0.11730141458106638,0.13647494150296566,0.006437291897891232,0.006072617726335818,0.0004280957666085302,0.0016172506738544475,0.0015855398763278896,0.00791184398287617,4,Regional Town/City
